HTSUS,Description,Scope Limitations
0803.90.00,Annex I General Exemption,Addition
0904.21.20,Annex I General Exemption,Addition
1003.90.40,Annex I General Exemption,Addition
2008.99.91,Annex I General Exemption,Addition
0201.20.30,Annex I General Exemption,Addition
0712.34.10,Annex I General Exemption,Addition
0804.30.20,Annex I General Exemption,Addition
0904.21.40,Annex I General Exemption,Addition
1008.30.00,Annex I General Exemption,Addition
2009.11.00,Annex I General Exemption,Addition
0201.20.50,Annex I General Exemption,Addition
0712.34.20,Annex I General Exemption,Addition
0804.30.40,Annex I General Exemption,Addition
0904.21.60,Annex I General Exemption,Addition
1008.40.00,Annex I General Exemption,Addition
2009.12.25,Annex I General Exemption,Addition
0201.20.80,Annex I General Exemption,Addition
0713.34.20,Annex I General Exemption,Addition
0804.30.60,Annex I General Exemption,Addition
0904.21.80,Annex I General Exemption,Addition
1008.60.00,Annex I General Exemption,Addition
2009.12.45,Annex I General Exemption,Addition
0201.30.02,Annex I General Exemption,Addition
0713.34.40,Annex I General Exemption,Addition
0804.40.00,Annex I General Exemption,Addition
0904.22.20,Annex I General Exemption,Addition
1106.20.90,Annex I General Exemption,Addition
2009.19.00,Annex I General Exemption,Addition
0201.30.04,Annex I General Exemption,Addition
0714.10.10,Annex I General Exemption,Addition
0804.50.40,Annex I General Exemption,Addition
0904.22.40,Annex I General Exemption,Addition
1106.30.20,Annex I General Exemption,Addition
2009.39.20,Annex I General Exemption,Addition
0201.30.06,Annex I General Exemption,Addition
0714.10.20,Annex I General Exemption,Addition
0804.50.60,Annex I General Exemption,Addition
0904.22.73,Annex I General Exemption,Addition
1108.14.00,Annex I General Exemption,Addition
2009.49.40,Annex I General Exemption,Addition
0201.30.10,Annex I General Exemption,Addition
0714.40.10,Annex I General Exemption,Addition
0804.50.80,Annex I General Exemption,Addition
0904.22.76,Annex I General Exemption,Addition
1108.19.00,Annex I General Exemption,Addition
2101.11.29,Annex I General Exemption,Addition
0201.30.30,Annex I General Exemption,Addition
0714.40.20,Annex I General Exemption,Addition
0805.10.00,Annex I General Exemption,Addition
0904.22.80,Annex I General Exemption,Addition
1203.00.00,Annex I General Exemption,Addition
2101.12.90,Annex I General Exemption,Addition
0201.30.50,Annex I General Exemption,Addition
0714.40.50,Annex I General Exemption,Addition
0805.50.30,Annex I General Exemption,Addition
0905.10.00,Annex I General Exemption,Addition
1207.91.00,Annex I General Exemption,Addition
2101.20.20,Annex I General Exemption,Addition
0201.30.80,Annex I General Exemption,Addition
0714.40.60,Annex I General Exemption,Addition
0805.50.40,Annex I General Exemption,Addition
0905.20.00,Annex I General Exemption,Addition
1513.11.00,Annex I General Exemption,Addition
2106.90.48,Annex I General Exemption,Addition
0202.10.05,Annex I General Exemption,Addition
0714.50.10,Annex I General Exemption,Addition
0807.20.00,Annex I General Exemption,Addition
0906.11.00,Annex I General Exemption,Addition
1513.19.00,Annex I General Exemption,Addition
2202.99.30,Annex I General Exemption,Addition
0202.10.10,Annex I General Exemption,Addition
0714.50.20,Annex I General Exemption,Addition
0808.40.20,Annex I General Exemption,Addition
0906.19.00,Annex I General Exemption,Addition
1521.10.00,Annex I General Exemption,Addition
2202.99.35,Annex I General Exemption,Addition
0202.10.50,Annex I General Exemption,Addition
0714.50.60,Annex I General Exemption,Addition
0808.40.40,Annex I General Exemption,Addition
0906.20.00,Annex I General Exemption,Addition
1521.90.20,Annex I General Exemption,Addition
3101.00.00,Annex I General Exemption,Addition
0202.20.02,Annex I General Exemption,Addition
0714.90.42,Annex I General Exemption,Addition
0810.50.00,Annex I General Exemption,Addition
0907.10.00,Annex I General Exemption,Addition
1602.50.05,Annex I General Exemption,Addition
3102.10.00,Annex I General Exemption,Addition
0202.20.04,Annex I General Exemption,Addition
0714.90.44,Annex I General Exemption,Addition
0810.60.00,Annex I General Exemption,Addition
0907.20.00,Annex I General Exemption,Addition
1602.50.07,Annex I General Exemption,Addition
3102.21.00,Annex I General Exemption,Addition
0202.20.06,Annex I General Exemption,Addition
0714.90.46,Annex I General Exemption,Addition
0810.90.27,Annex I General Exemption,Addition
0908.11.00,Annex I General Exemption,Addition
1602.50.08,Annex I General Exemption,Addition
3102.29.00,Annex I General Exemption,Addition
0202.20.10,Annex I General Exemption,Addition
0714.90.48,Annex I General Exemption,Addition
0810.90.46,Annex I General Exemption,Addition
0908.12.00,Annex I General Exemption,Addition
1602.50.21,Annex I General Exemption,Addition
3102.30.00,Annex I General Exemption,Addition
0202.20.30,Annex I General Exemption,Addition
0714.90.61,Annex I General Exemption,Addition
0811.90.10,Annex I General Exemption,Addition
0908.21.00,Annex I General Exemption,Addition
1602.50.60,Annex I General Exemption,Addition
3102.40.00,Annex I General Exemption,Addition
0202.20.50,Annex I General Exemption,Addition
0801.11.00,Annex I General Exemption,Addition
0811.90.25,Annex I General Exemption,Addition
0908.22.20,Annex I General Exemption,Addition
1602.50.90,Annex I General Exemption,Addition
3102.50.00,Annex I General Exemption,Addition
0202.20.80,Annex I General Exemption,Addition
0801.12.00,Annex I General Exemption,Addition
0811.90.30,Annex I General Exemption,Addition
0908.22.40,Annex I General Exemption,Addition
1801.00.00,Annex I General Exemption,Addition
3102.60.00,Annex I General Exemption,Addition
0202.30.02,Annex I General Exemption,Addition
0801.19.01,Annex I General Exemption,Addition
0811.90.40,Annex I General Exemption,Addition
0908.31.00,Annex I General Exemption,Addition
1802.00.00,Annex I General Exemption,Addition
3102.80.00,Annex I General Exemption,Addition
0202.30.04,Annex I General Exemption,Addition
0801.21.00,Annex I General Exemption,Addition
0811.90.50,Annex I General Exemption,Addition
0908.32.00,Annex I General Exemption,Addition
1803.10.00,Annex I General Exemption,Addition
3102.90.01,Annex I General Exemption,Addition
0202.30.06,Annex I General Exemption,Addition
0801.22.00,Annex I General Exemption,Addition
0811.90.52,Annex I General Exemption,Addition
0909.21.00,Annex I General Exemption,Addition
1803.20.00,Annex I General Exemption,Addition
3103.11.00,Annex I General Exemption,Addition
0202.30.10,Annex I General Exemption,Addition
0801.31.00,Annex I General Exemption,Addition
0812.90.40,Annex I General Exemption,Addition
0909.22.00,Annex I General Exemption,Addition
1804.00.00,Annex I General Exemption,Addition
3103.19.00,Annex I General Exemption,Addition
0202.30.30,Annex I General Exemption,Addition
0801.32.00,Annex I General Exemption,Addition
0901.11.00,Annex I General Exemption,Addition
0909.31.00,Annex I General Exemption,Addition
1805.00.00,Annex I General Exemption,Addition
3103.90.01,Annex I General Exemption,Addition
0202.30.50,Annex I General Exemption,Addition
0802.41.00,Annex I General Exemption,Addition
0901.12.00,Annex I General Exemption,Addition
0909.32.00,Annex I General Exemption,Addition
1903.00.20,Annex I General Exemption,Addition
3105.30.00,Annex I General Exemption,Addition
0202.30.80,Annex I General Exemption,Addition
0802.42.00,Annex I General Exemption,Addition
0901.21.00,Annex I General Exemption,Addition
0909.61.00,Annex I General Exemption,Addition
1903.00.40,Annex I General Exemption,Addition
3105.40.00,Annex I General Exemption,Addition
0206.10.00,Annex I General Exemption,Addition
0802.61.00,Annex I General Exemption,Addition
0901.22.00,Annex I General Exemption,Addition
0909.62.00,Annex I General Exemption,Addition
2001.90.45,Annex I General Exemption,Addition
3105.51.00,Annex I General Exemption,Addition
0206.21.00,Annex I General Exemption,Addition
0802.62.00,Annex I General Exemption,Addition
0901.90.10,Annex I General Exemption,Addition
0910.11.00,Annex I General Exemption,Addition
2005.91.60,Annex I General Exemption,Addition
3105.59.00,Annex I General Exemption,Addition
0206.22.00,Annex I General Exemption,Addition
0802.70.10,Annex I General Exemption,Addition
0901.90.20,Annex I General Exemption,Addition
0910.12.00,Annex I General Exemption,Addition
2006.00.40,Annex I General Exemption,Addition
3105.90.00,Annex I General Exemption,Addition
0206.29.00,Annex I General Exemption,Addition
0802.70.20,Annex I General Exemption,Addition
0902.10.10,Annex I General Exemption,Addition
0910.20.00,Annex I General Exemption,Addition
2007.99.40,Annex I General Exemption,Addition
0210.20.00,Annex I General Exemption,Addition
0802.80.10,Annex I General Exemption,Addition
0902.10.90,Annex I General Exemption,Addition
0910.30.00,Annex I General Exemption,Addition
2007.99.50,Annex I General Exemption,Addition
0702.00.20,Annex I General Exemption,Addition
0802.80.20,Annex I General Exemption,Addition
0902.20.10,Annex I General Exemption,Addition
0910.91.00,Annex I General Exemption,Addition
2008.19.15,Annex I General Exemption,Addition
9903.01.35,Annex I General Exemption,Addition
9903.01.39,Annex I General Exemption,Addition
0805.90.01,Annex I General Exemption,Addition
0811.90.80,Annex I General Exemption,Addition
1404.90.90,Annex I General Exemption,Addition
1905.90.10,Annex I General Exemption,Addition
1905.90.90,Annex I General Exemption,Addition
2008.99.21,Annex I General Exemption,Addition
2009.31.60,Annex I General Exemption,Addition
2009.89.70,Annex I General Exemption,Addition
2009.90.40,Annex I General Exemption,Addition
2106.90.99,Annex I General Exemption,Addition
3301.29.51,Annex I General Exemption,Addition
0508.00.00,"0508.00.00 Coral, shells, cuttlebone and similar materials, unworked or simply prepared but not cut to shape; powder and waste thereof",
1106.20.90 0714,"1106.20.90 Flour, meal and powder of sago, or of roots or tubers of heading 0714 (excluding Chinese water chestnuts) Addition",Addition
1513,"1513. 11.00 Coconut (copra) oil and its fractions, crude oil A dditio n",
2504.10.10 2025,"2504.10.10 Natural graphite, in crystalline flakes (not including flake dust) Executive Order 14346 of September 5, 2025",
2504.10.50,"2504.10.50 Natural graphite, in powder or flakes (other than crystalline flake)",
2504.90.00,"2504.90.00 Natural graphite, other than in powder or in flakes",
2510.10.00,"2510.10.00 Natural calcium phosphates, natural aluminum calcium phosphates, unground",
2510.20.00,"2510.20.00 Natural calcium phosphates, natural aluminum calcium phosphates, ground",
2511.10.10,"2511.10.10 Natural barium sulfate (barytes), ground",
2511.10.50,"2511.10.50 Natural barium sulfate (barytes), not ground",
2519.10.00,2519.10.00 Natural magnesium carbonate (magnesite),
2519.90.10,"2519.90.10 Fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering",
2519.90.20,2519.90.20 Caustic calcined magnesite,
2524.90.00,2524.90.00 Asbestos other than Crocidolite (Blue),
2529.21.00,"2529.21.00 Fluorspar, containing by weight 97 percent or less of calcium fluoride",
2529.22.00,"2529.22.00 Fluorspar, containing by weight more than 97 percent of calcium fluoride",
2530.20.10,2530.20.10 Kieserite,
2530.20.20,2530.20.20 Epsom salts (natural magnesium sulfates),
2530.90.10,2530.90.10 Natural cryolite; natural chiolite,
2530.90.20,2530.90.20 Natural micaceous iron oxides,
2530.90.80,"2530.90.80 Other mineral substances, nesoi",
2602.00.00,"2602.00.00 Manganese ores and concentrates including ferruginous manganese ores and concentrates, with manganese content over 20 percent, calculated on dry weight",
2603.00.00,2603.00.00 Copper ores and concentrates,
2604.00.00 2025,"2604.00.00 Nickel ores and concentrates Executive Order 14346 of September 5, 2025",
2605.00.00,2605.00.00 Cobalt ores and concentrates,
2606.00.00,2606.00.00 Aluminum ores and concentrates,
2608.00.00,2608.00.00 Zinc ores and concentrates,
2609.00.00 2025,"2609.00.00 Tin ores and concentrates Executive Order 14346 of September 5, 2025",
2610.00.00,2610.00.00 Chromium ores and concentrates,
2611.00.30,2611.00.30 Tungsten ores,
2611.00.60,2611.00.60 Tungsten concentrates,
2612.10.00,2612.10.00 Uranium ores and concentrates,
2612.20.00 2025,"2612.20.00 Thorium ores and concentrates Executive Order 14346 of September 5, 2025",
2613.90.00 2025,"2613.90.00 Molybdenum ores and concentrates, not roasted Executive Order 14346 of September 5, 2025",
2614.00.30,2614.00.30 Synthetic rutile,
2614.00.60,"2614.00.60 Titanium ores and concentrates, other than synthetic rutile",
2615.90.30,2615.90.30 Synthetic tantalum-niobium concentrates,
2615.90.60,"2615.90.60 Niobium, tantalum or vanadium ores and concentrates, nesoi",
2616.10.00,2616.10.00 Silver ores and concentrates,
2617.10.00,2617.10.00 Antimony ores and concentrates,
2620.30.00,"2620.30.00 Ash and residues (other than from the manufacture of iron or steel), containing mainly copper",
2620.99.50,"2620.99.50 Slag (other than from the manufacture of iron or steel), containing by weight over 40 percent titanium, and which if containing over 2 percent by weight of copper, lead, or zinc is not to be treated for the recovery thereof",
2701.11.00,"2701.11.00 Coal, anthracite, whether or not pulverized, but not agglomerated",
2701.12.00,"2701.12.00 Coal, bituminous, whether or not pulverized, but not agglomerated",
2701.19.00,"2701.19.00 Coal, other than anthracite or bituminous, whether or not pulverized, but not agglomerated",
2701.20.00,"2701.20.00 Coal, briquettes, ovoids and similar solid fuels manufactured from coal",
2702.10.00,"2702.10.00 Lignite (excluding jet), whether or not pulverized, but not agglomerated",
2702.20.00,"2702.20.00 Lignite (excluding jet), agglomerated",
2703.00.00,"2703.00.00 Peat (including peat litter), whether or not agglomerated",
2704.00.00,"2704.00.00 Coke and semicoke of coal, lignite or peat, whether or not agglomerated; retort carbon",
2705.00.00,"2705.00.00 Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",
2706.00.00,"2706.00.00 Tars (including reconstituted tars), distilled from coal, lignite or peat, and other mineral tars, whether dehydrated or partially distilled",
2707.10.00,"2707.10.00 Benzene, from the distillation of high-temperature coal tar, or in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",
2707.20.00,"2707.20.00 Toluene, from the distillation of high-temperature coal tar, or in which the weight of aromatic constituents exceeds that of the nonaromatic constituents",
2707.30.00,"2707.30.00 Xylenes, from the distillation of high-temperature coal tar, or in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",
2707.40.00,"2707.40.00 Naphthalene, from the distillation of high-temperature coal tar, or in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",
2707.50.00 3405,"2707.50.00 Aromatic hydrocarbon mixtures (from the distillation of high-temperature coal tar, or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents), other than Benzene, Toluene, Xylenes, and Naphathalene, in which 65% or more by volume (including losses) distills at 250 C by the ISO 3405 method (equivalent to the ASTM D 86 method)",
2707.91.00,"2707.91.00 Creosote oils, from the distillation of high-temperature coal tar or similar products in which the weight of the",
2707.99.10,"2707.99.10 Light oil, from the distillation of high-temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",
2707.99.20,"2707.99.20 Picolines, from the distillation of high-temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",
2707.99.40,"2707.99.40 Carbazole, from the distillation of high-temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents, having a purity of 65 percent or more by weight",
2707.99.51,"2707.99.51 Phenols, from the distillation of high-temperature coal tar or similar products in which the weight of aromatic constituents exceeds that of nonaromatic constituents, containing more than 50 percent by weight of hydroxybenzene",
2707.99.55,"2707.99.55 Metacresol, orthocresol, paracresol, and metaparacresol, from the distillation of high-temperature coal tar or similar products where the weight of the aromatic constituents exceeds that of the nonaromatic constituents, having a purity of 75 percent or more by weight",
2707.99.59,"2707.99.59 Phenols, nesoi",
2707.99.90,"2707.99.90 Other products of the distillation of high-temperature coal tar and similar products in which the weight of the aromatic constituents exceed that of the nonaromatic constituents, nesoi",
2708.10.00,"2708.10.00 Pitch, obtained from coal tar or other mineral tars",
2708.20.00,"2708.20.00 Pitch coke, obtained from coal tar or other mineral tars",
2709.00.10,"2709.00.10 Petroleum oils and oils from bituminous minerals, crude, testing under 25 degrees A.P.I.",
2709.00.20,"2709.00.20 Petroleum oils and oils from bituminous minerals, crude, testing 25 degrees A.P.I. or more",
2710.12.15,2710.12.15 Light oil motor fuel from petroleum oils and oils from bituminous minerals (other than crude) and containing by weight 70 percent or more of petroleum oils or oils from bituminous minerals,
2710.12.18,2710.12.18 Light oil motor fuel blending stock from petroleum oils and oils from bituminous minerals (other than crude) containing by weight 70 percent or more from petroleum oils or oils from bituminous minerals,
2710.12.25,2710.12.25 Naphthas (except motor fuel or motor fuel blending stock),
2710.12.45,2710.12.45 Light oil mixtures of hydrocarbons nesoi which contain by weight not over 50 percent of any single hydrocarbon compound,
2710.12.90,"2710.12.90 Light oils and preparations, from petroleum oils and oils from bituminous minerals or preparations nesoi containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals",
2710.19.06,"2710.19.06 Distillate and residual fuel oils (including blended fuel oils), derived from petroleum or oils from bituminous minerals, testing under 25 degrees A.P.I.",
2710.19.11,"2710.19.11 Distillate and residual fuel oils (including blended fuel oils), derived from petroleum oils or oils from bituminous minerals, testing 25 degrees A.P.I. or more",
2710.19.16,"2710.19.16 Kerosene-type jet fuel, from petroleum oils and oils of bituminous minerals (other than crude) or preparations",
2710.19.24,"2710.19.24 Kerosene motor fuel (except kerosene-type jet fuel), from petroleum oils and oils of bituminous minerals (other than crude) or preparations containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals",
2710.19.25,"2710.19.25 Kerosene motor fuel blending stock (except kerosene-type jet fuel), from petroleum oils and oils of bituminous minerals (other than crude) or preparations containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals",
2710.19.26,"2710.19.26 Kerosene (except kerosene-type jet fuel, kerosene motor fuel, and kerosene motor fuel blending stock), from petroleum oils and oils of bituminous minerals (other than crude) or preparations containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals",
2710.19.30,"2710.19.30 Lubricating oils, with or without additives, from petroleum oils and oils of bituminous minerals (other than crude) or preparations containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals",
2710.19.35,"2710.19.35 Lubricating greases, containing not over 10 percent by weight of salts of fatty acids of animal or vegetable origin, from petroleum oils and oils of bituminous minerals (other than crude) or preparations containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals",
2710.19.40,"2710.19.40 Lubricating greases, containing 10 percent or more by weight of salts of fatty acids of animal or vegetable origin, from petroleum oils and oils of bituminous minerals (other than crude) or preparations containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals",
2710.19.45,"2710.19.45 Mixture of hydrocarbons nesoi, which contain by weight not over 50 percent of any single hydrocarbon compound, from petroleum oils and oils of bituminous minerals (other than crude) or preparations containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals",
2710.19.90,2710.19.90 Petroleum oils and oils from bituminous minerals or preparations nesoi containing by weight 70% or more of petroleum oils or oils obtained from bituminous minerals,
2710.20.05,"2710.20.05 Distillate and residual fuel oils (including blended fuel oils), testing under 25 degrees A.P.I., from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals, containing biodiesel, other than waste oils",
2710.20.10,"2710.20.10 Distillate and residual fuel oils (including blended fuel oils), testing 25 degrees A.P.I. or more, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals, containing biodiesel, and other than waste oils",
2710.20.15,"2710.20.15 Kerosene-type jet fuel, motor fuel or motor fuel blending stock, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by",
2710.20.25,"2710.20.25 Kerosene (except kerosene-type jet fuel, motor fuel or motor fuel blending stock, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70 percent or more of petroleum oils or oils obtained from bituminous minerals, containing biodiesel, other than waste oils",
2710.91.00,"2710.91.00 Waste oils containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)",
2710.99.05,"2710.99.05 Wastes of distillate and residual fuel oil (including blends) derived from petroleum oil or bituminous minerals, testing under 25 degrees A.P.I.",
2710.99.10,"2710.99.10 Wastes of distillate and residual fuel oil (including blends) derived from petroleum oil or bituminous minerals, testing 25 degrees A.P.I. or more",
2710.99.16,2710.99.16 Waste motor fuel or motor fuel blending stock,
2710.99.21,2710.99.21 Waste kerosene or naphthas,
2710.99.31,"2710.99.31 Waste lubricating oils, with or without additives",
2710.99.32,"2710.99.32 Waste lubricating greases, containing not over 10 percent by weight of fatty acids of animal (including marine animal) or vegetable origin",
2710.99.39,2710.99.39 Other wastes of lubricating oils and greases,
2710.99.45,2710.99.45 Waste oil mixtures of hydrocarbons nesoi containing not over 50 percent of any single hydrocarbon compound,
2710.99.90,2710.99.90 Other waste oils,
2711.11.00,"2711.11.00 Natural gas, liquefied",
2711.12.00,"2711.12.00 Propane, liquefied",
2711.13.00,"2711.13.00 Butanes, liquefied",
2711.14.00,"2711.14.00 Ethylene, propylene, butylene and butadiene, liquefied",
2711.19.00,"2711.19.00 Liquefied petroleum gases and other gaseous hydrocarbons, nesoi",
2711.21.00,"2711.21.00 Natural gas, in gaseous state",
2711.29.00,"2711.29.00 Petroleum gases and other gaseous hydrocarbons, except natural gas",
2712.10.00,2712.10.00 Petroleum jelly,
2712.20.00,"2712.20.00 Paraffin wax (whether or not colored), obtained by synthesis or other process and less than 0.75 percent oil by weight",
2712.90.10,"2712.90.10 Montan wax (whether or not colored), obtained by synthesis or other process",
2712.90.20,"2712.90.20 Mineral waxes (i.e., paraffin wax with 0.75 percent or more oil by weight, microcrystalline wax, slack lignite and peat waxes, ozokerite), obtained by synthesis",
2713.11.00,"2713.11.00 Coke, petroleum, not calcined",
2713.12.00,"2713.12.00 Coke, petroleum coke, calcined",
2713.20.00,2713.20.00 Petroleum bitumen,
2713.90.00,2713.90.00 Residues (except petroleum coke or petroleum bitumen) of petroleum oils or of oils obtained from bituminous materials,
2714.10.00,2714.10.00 Bituminous or oil shale and tar sands,
2714.90.00,"2714.90.00 Bitumen and asphalt, natural; asphaltites and asphaltic rocks",
2715.00.00,"2715.00.00 Bituminous mixtures based on natural asphalt, natural bitumen, petroleum bitumen, mineral tar or mineral tar pitch",
2716.00.00,2716.00.00 Electrical energy,
2801.20.00,2801.20.00 Iodine,
2804.29.00,"2804.29.00 Rare gases, other than argon",
2804.50.00,2804.50.00 Boron; tellurium,
2804.61.00,2804.61.00 Silicon containing by weight not less than 99.99 percent of silicon,
2804.80.00,2804.80.00 Arsenic,
2804.90.00,2804.90.00 Selenium,
2805.19.10,2805.19.10 Strontium,
2805.19.20,2805.19.20 Barium,
2805.19.90,"2805.19.90 Alkali metals, other than sodium",
2805.30.00,"2805.30.00 Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",
2811.11.00,2811.11.00 Hydrogen fluoride (Hydrofluoric acid),
2811.19.10,2811.19.10 Arsenic acid,
2811.29.10,2811.29.10 Arsenic trioxide,
2811.29.20,2811.29.20 Selenium dioxide,
2812.19.00,2812.19.00 Other chlorides and chloride oxides,
2813.90.10,2813.90.10 Arsenic sulfides,
2815.20.00,2815.20.00 Potassium hydroxide (Caustic potash),
2816.10.00,2816.10.00 Hydroxide and peroxide of magnesium,
2816.40.10,"2816.40.10 Oxides, hydroxides and peroxides of strontium",
2816.40.20,"2816.40.20 Oxides, hydroxides and peroxides of barium",
2817.00.00,2817.00.00 Zinc oxide; zinc peroxide,
2818.10.10,"2818.10.10 Artificial corundum, crude",
2818.10.20,"2818.10.20 Artificial corundum, in grains, or ground, pulverized or refined",
2818.20.00,"2818.20.00 Aluminum oxide, other than artificial corundum",
2820.10.00,2820.10.00 Manganese dioxide,
2821.10.00,2821.10.00 Iron oxides and hydroxides,
2821.20.00,2821.20.00 Earth colors containing 70 percent or more by weight of combined iron evaluated as Fe2O3,
2822.00.00,2822.00.00 Cobalt oxides and hydroxides; commercial cobalt oxides,
2823.00.00,2823.00.00 Titanium oxides,
2825.20.00,2825.20.00 Lithium oxide and hydroxide,
2825.40.00 2025,"2825.40.00 Nickel oxides and hydroxides Executive Order 14346 of September 5, 2025",
2825.50.30,2825.50.30 Copper hydroxides,
2825.60.00,2825.60.00 Germanium oxides and zirconium dioxide,
2825.80.00,2825.80.00 Antimony oxides,
2825.90.15,2825.90.15 Niobium oxide,
2825.90.30,2825.90.30 Tungsten oxides,
2825.90.90,"2825.90.90 Other inorganic bases; other metal oxides, hydroxides and peroxides, nesoi",
2826.12.00,2826.12.00 Fluorides of aluminum,
2826.30.00,2826.30.00 Sodium hexafluoroaluminate (Synthetic cryolite),
2826.90.90,"2826.90.90 Other complex fluorine salts, nesoi",
2827.31.00,2827.31.00 Magnesium chloride,
2827.39.45,2827.39.45 Barium chloride,
2827.39.60,2827.39.60 Cobalt chlorides,
2827.39.90,"2827.39.90 Chlorides, nesoi",
2827.41.00,2827.41.00 Chloride oxides and chloride hydroxides of copper,
2827.49.50,2827.49.50 Chloride oxides and chloride hydroxides other than of copper or of vanadium,
2827.59.51,"2827.59.51 Other bromides and bromide oxides, other than ammonium, calcium or zinc",
2827.60.10,2827.60.10 Iodide and iodide oxide of calcium or copper,
2827.60.51,"2827.60.51 Iodides and iodide oxides, other than of calcium, copper or potassium",
2833.21.00,2833.21.00 Magnesium sulfate,
2833.24.00 2025,"2833.24.00 Nickel sulfate Executive Order 14346 of September 5, 2025",
2833.25.00,2833.25.00 Copper sulfate,
2833.27.00,2833.27.00 Barium sulfate,
2833.29.10,2833.29.10 Cobalt sulfate,
2833.29.45,2833.29.45 Zinc sulfate,
2833.29.51,2833.29.51 Other sulfates nesoi,
2834.21.00,2834.21.00 Potassium nitrate,
2834.29.20,2834.29.20 Strontium nitrate,
2834.29.51,"2834.29.51 Nitrates, nesoi",
2836.60.00,2836.60.00 Barium carbonate,
2836.91.00,2836.91.00 Lithium carbonates,
2836.92.00,2836.92.00 Strontium carbonate,
2836.99.10,2836.99.10 Cobalt carbonates,
2836.99.50,"2836.99.50 Carbonates nesoi, and peroxocarbonates (percarbonates)",
2841.80.00,2841.80.00 Tungstates (wolframates),
2841.90.20,2841.90.20 Ammonium perrhenate,
2841.90.40,2841.90.40 Aluminates,
2843.29.01,"2843.29.01 Silver compounds, other than silver nitrate",
2843.30.00,2843.30.00 Gold compounds,
