HTS Date:,2/21/2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tariff Number,Description,Effective Date,Expiration Date,Census Qty 1,Census Qty 2,Census Qty 3,AD Duty,CV Duty,PGA 1,PGA 2,PGA 3,PGA 4,PGA 5,PGA 6,PGA 7,PGA 8,PGA 9,PGA 10
0102310020,OTHER FEMALE PUREBRED BREEDING,2/1/2013,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0102390010,"OTH MALE LV BVNE ANM,BISON",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102390024,OTH MALE LV BUFALO < 90 KG EA,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102390028,OTH FEMALE LV BUFFALO <90 KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102390034,OTH LV MLE BF ANM=>90KG <200KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102390038,OT LV FMLE BF ANM=>90KG <200KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102390054,OT LVE MLE BUF ANM 200<320 KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102390058,OT LVE FMLE BUF ANM 200<320KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102390061,"LIVE BOV ANIMAL,BUF => 320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD4,FW3,,,,,,,
0102390072,"MALE BOVINE,BUF,BRED,=> 320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102390074,"FEMALE BOV,BUF,BRED, => 320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102390082,"MALE LV BOV ANIM,BUF =>320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102390084,"FEMALE LVE BOV,BUF => 320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,FW3,,,,,,,
0102900000,"LIVE BOVINE ANIMALS, OTHER",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0103100000,"LIVE SWINE, PUREBRED BREEDING",12/12/2003,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0103910010,OTHER LIVE SWINE < 7 KG EACH,12/12/2003,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0103910020,OTHER LIVE SWINE 7KG AND<23KG,12/12/2003,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0103910030,OTHER LIVE SWINE=OR>23KG >50KG,12/12/2003,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0103920010,"OTH LIVE SWINE,>=50KG,SLAUGHTR",12/12/2003,12/31/2030,NO,KG,,N,N,AM7,FD4,,,,,,,,
0103920020,"OTH SWINE,>50KG BREED,NT PUREB",1/1/2005,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0103920090,"OTH LIVE SWINE,WT >=50KG,O",9/30/2002,12/31/2030,NO,KG,,N,N,,,,,,,,,,
0103920091,"OTH LIVE SWINE,WT >=50KG,OTHER",1/1/2005,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0104100000,LIVE SHEEP,12/12/2003,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0104200000,LIVE GOATS,7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0105110010,"CHICKENS <=185G BREED,LAYER TP",7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0105110020,"CHICKENS <=185 G BREED,BROILER",7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0105110040,OTH LIVE CHICKENS N/O 185 G EA,7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0105120000,"TURKEYS,LIVE N/OVER 185 G EACH",7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0105130000,"DUCKS,LIVE,WEIGH N/O 185 G",7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0105140000,"GEESE, LIVE, WEIGH N/O 185 G",7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0105150000,"GUINEA FWL,LIV,WEIGH N/O 185 G",7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,FW1,,,,,,,
0105940000,"CHICKENS, LIVE, OTHER",7/1/2020,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0105990000,"LIVE POULTRY,NOT CHICKNS,>185G",7/1/2020,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0106110000,"PRIMATES, LIVE",12/12/2003,12/31/2030,NO,,,N,N,AM7,FD3,FW3,,,,,,,
0106120100,MAMMALS OF CETACEA/SIRENIA,2/3/2012,12/31/2030,NO,,,N,N,AM7,FW2,,,,,,,,
0106130000,"OTH LIVE ANIMAL,OTH,OTH,CAMELS",2/3/2012,12/31/2030,NO,,,N,N,AM7,FD3,FW1,,,,,,,
0106140000,"OTH LVE ANIMLS,RABBITS,HARES",2/3/2012,12/31/2030,NO,,,N,N,AM7,AQ1,FD3,FW1,,,,,,
0106193000,"FOXES, LIVE",7/1/2020,12/31/2030,NO,,,N,N,AM7,FW3,,,,,,,,
0106199110,"OTH LVE ANIMLS,OTH,RABBIT/",2/3/2012,12/31/2030,NO,,,N,N,,,,,,,,,,
0106199120,"OTH LIVE ANIMALS,OTH,OTH,DOGS",2/3/2012,12/31/2030,NO,,,N,N,AM7,AQ1,FD3,,,,,,,
0106199195,"OTHER LIVE ANIMALS,OTH,OTH,OTH",2/3/2012,12/31/2030,NO,,,N,N,AM7,FD3,FW1,,,,,,,
0106200000,REPTILES INCL SNAKES/TURTLES,12/12/2003,12/31/2030,NO,,,N,N,AM7,FD3,FW3,,,,,,,
0106310000,BIRDS OF PREY,7/1/2020,12/31/2030,NO,,,N,N,AM7,FD1,FW2,,,,,,,
0106320000,PSITTACIFORMESS,7/1/2020,12/31/2030,NO,,,N,N,AM7,FW3,,,,,,,,
0106330000,"OTHER BIRDS,OSTRICHES, EMUS",7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,FW2,,,,,,,
0106390100,OTHER BIRDS,7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,FW1,,,,,,,
0106410000,"OTHER LIVE ANIMALS,OTHER,BEES",1/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FW1,,,,,,
0106490010,LEAF CUTTER BEE LARVAE,2/3/2012,12/31/2030,KG,,,N,N,AM7,AQ2,FW1,,,,,,,
0106490090,"OTHER LIVE ANIMALS,OTHER,OTHER",1/1/2020,12/31/2030,KG,,,N,N,AM7,AQ1,FD3,FW1,,,,,,
0106900110,"WORMS, LIVE",1/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FW1,,,,,,
0106900120,BAIT (OTHER THAN WORMS),1/1/2020,12/31/2030,KG,,,N,N,AM7,AQ1,FD3,FW1,,,,,,
0106900180,"OTHER LIVE ANIMALS,OTHER,OTHER",1/1/2020,12/31/2030,KG,,,N,N,AM7,AQ1,FD3,FW1,,,,,,
0201100510,"VEAL FULL/HALF CARCASSES,NT 15",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201100590,OTH BOVINE FL/HF CARCASSE NT15,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS3,,,,,,
0201101010,VEAL FULL/HALF CARCASSES NT 3,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201101090,OTH BOVINE FL/HF CARCASSE NT 3,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS3,,,,,,
0201105010,VEAL FULL/HALF CARCASSES,1/1/2026,12/31/2026,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201105090,OTH BOVINE FULL/HALF CARCASSES,1/1/2026,12/31/2026,KG,,,N,N,AM7,AQ2,FD3,FS3,,,,,,
0201200200,"H-Q BEEF BONE,PROC,FR/CHL NT15",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201200400,"OTH BOVINE CUT, BONE,PROC NT15",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201200600,"OTH, CUTS W/BONE,FRSH/CHL NT15",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201201000,HQ BEEF CUT PROC BONE F/C NT 3,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201203000,OT BOVINE CUT PROC BONE FC NT3,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201205000,OTH CUTS BONE NT PROC F/C,1/1/2016,12/31/2030,KG,,,N,N,,,,,,,,,,
0201205015,"OTH CUTS BONE N/PROC F/C,VEAL",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201205025,"OTH CUTS BONE IN,OTH,RIB CUTS",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201205035,"OTH CUTS BONE IN,OTH,CHUCK CUT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201205045,"OTH CUTS BONE IN,OTH,LOIN CUTS",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201205065,"OTH CUTS BONE IN,OTH,HIP CUTS",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201205075,"OTH CUTS BONE IN,OTH,FLANK CUT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201205091,OTH CUTS BONE NT PROC F/C NT3,7/1/2022,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201208010,"BISON CUTS W/BONE,FRSH/CHILL",1/1/2026,12/31/2030,KG,,,N,N,AM7,AQ2,FD4,FW2,,,,,,
0201208090,"OTH,OTH CUTS W/BONE,FRSH/CHILL",1/1/2026,12/31/2026,KG,,,N,N,AM7,AQ2,FD3,FS3,,,,,,
0201300200,HQ BEEF CUT BNLES PROC F/C N15,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201300400,OT BOV CUT BNLES PROC F/C N15,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201300600,OTH BOV BNLESS NPROC F/C NT 15,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201301000,HQ BEEF CUT BNLES PROC F/C NT3,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201303000,BNLES BOVINE CUT PROC F/C NT 3,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201305015,"BONELESS BOVINE CT,N/PROC,VEAL",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201305025,"BONELESS BOVINE CT,OTH,RIB CUT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201305035,"BONELESS BOVINE CT,OTH,CHK CUT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201305045,"BONELESS BOVINE CT,OTH,LOIN CT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201305055,"BONELESS BOVINE CT,OTH,BRISKET",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201305065,"BONELESS BOVINE CT,OTH,HIP CUT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201305075,"BONELESS BOVINE CT,OT,FLANK CT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0201305091,"BNLSSBOVNE CTS,OT,NT3 CERT ORG",2/1/2026,12/31/2030,KG,,,N,N,AM8,AQ2,FD3,FS4,,,,,,
0201305097,"BNLSS BOVN CTS,OTH,NT3 OTH,OTH",2/1/2026,12/31/2030,KG,,,N,N,AQ2,FD3,FS4,,,,,,,
0201308010,"BONLES BOV CUTS,N/PROCSD,BISON",1/1/2026,12/31/2026,KG,,,N,N,AM7,AQ2,FD4,,,,,,,
0201308090,"BONLES BOV CUTS,N/PROCSD,OTHER",1/1/2026,12/31/2026,KG,,,N,N,AM7,AQ2,FD3,FS3,,,,,,
0202100510,"VEAL CARCASSES/HALF,FROZEN",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202100590,"OTH BOVINE CARCASSES/HALF,FROZ",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS3,,,,,,
0202101010,"VEAL CARCASSES/HALF,FROZEN",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202101090,"OTH BOVINE CARCASSES/HALF,FROZ",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS3,,,,,,
0202105010,"VEAL CARCASSES/HALF,FROZEN",1/1/2026,12/31/2026,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202105090,OTH OTH BOVINE CAR/HALF CARFZN,1/1/2026,12/31/2026,KG,,,N,N,AM7,AQ2,FD3,FS3,,,,,,
0202200200,HIGH-QUALITY BEEF CUTS FROZEN,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202200400,"OTH BOVINE CUT W/BONE,PROC,FRZ",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202200600,"BOVINE CUTS,BONE/FZN/NOT PROC",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202201000,HIGH-QUALITY BEEF CUTS FROZEN,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202203000,"OTH BOVINE CUT W/BONE,PROC,FRZ",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202205025,"BOVINE CUT,BONE/FZN,OTH,RIB CT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202205035,"BOVINE CUT,BONE/FZN,OTH,CHK CT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202205045,"BOVINE CUT,BONE/FZN,OTH,LOIN",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202205090,"BOVINE CUT,BONE/FZN,OTH,BRISKT",7/1/2022,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202208000,"BOVINE OTH OTH BONE IN, FROZEN",1/1/2026,12/31/2026,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202300200,HIGH-QUALITY BEEF CUTS BONELES,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202300400,"OTHER BONELESS,PROCESSED MEAT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202300600,"BOVN,BONELESS,FROZEN,N/PROCESS",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202301000,HIGH-QUALITY BEEF CUTS BONELES,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202303000,"OTHER BONELESS,PROCESSED MEAT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202305000,"BOVN,BONELESS,FROZEN,N/PRO",1/1/2016,12/31/2030,KG,,,N,N,,,,,,,,,,
0202305015,"BOVN,BONELESS,FROZEN,N/PR,VEAL",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202305025,"BOVN,BONELESS,FROZN,OTH,RIB CT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ1,FD3,FS4,,,,,,
0202305035,"BOVN,BONELESS,FROZN,OTH,CHUCK",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202305045,"BOVN,BONELESS,FROZN,OTH,LOIN",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202305055,"BOVN,BONELESS,FROZN,OTH,BRISKT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202305065,"BOVN,BONELESS,FROZN,OTH,HIP CT",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202305075,"BOVN,BONELESS,FROZ,OTH,FLANK",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0202305091,"BOVN,BNLS,FRZN,N/PRC,OTHCRTORG",2/1/2026,12/31/2030,KG,,,N,N,AM8,AQ2,FD3,FS4,,,,,,
0202305097,"BOVN,BNLS,FRZN,N/PRC,OTH,OTH",2/1/2026,12/31/2030,KG,,,N,N,AQ2,FD3,FS4,,,,,,,
0202308015,"BOVINE OTH BNLSS,FRZN CERT ORG",2/1/2026,12/31/2030,KG,,,N,N,AM8,AQ2,FD3,FS4,,,,,,
0202308025,"BOVINE OTH BNLSS,FRZN OTHER",2/1/2026,12/31/2030,KG,,,N,N,AQ2,FD3,FS4,,,,,,,
0203110000,"MEAT SWINE,FRSH/CHILLD,CARCASS",4/2/2004,12/31/2030,KG,,,N,Y,AM7,AQ2,FD3,FS4,,,,,,
0203121010,PROCESS HAMS AND CUTS THEREOF,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0203121020,PROCESS SHOULDERS AND CUTS,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0203129010,OTHER HAMS AND CUTS THEREOF,4/2/2004,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0203129020,OTHER SHOULDERS AND CUTS,4/2/2004,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0203192010,PROCESSED SPARE RIBS,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0203192090,"OTHER PROCESSED SWINE MEAT,OTH",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0203194010,"MEAT OF SWINE, OTHER, BELLIES",4/2/2004,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0203194090,"MEAT OF SWINE,FRSH/CHLLD, OTHR",4/2/2004,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0203210000,"FROZEN SWINE MEAT,CARCASSES M",4/2/2004,12/31/2030,KG,,,N,Y,AM7,AQ2,FD3,FS4,,,,,,
0203221000,"FROZEN PROCESSED HAMS,SHOULDER",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0203229000,"OTH HAMS, SHOULDERS/CUTS,FROZN",4/2/2004,12/31/2030,KG,,,N,Y,AM7,AQ2,FD3,FS4,,,,,,
0203292000,FROZEN PROCESSED SWINE MEAT OT,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0203294000,"FROZEN SWINE MEAT,OTHER",4/2/2004,12/31/2030,KG,,,N,Y,AM7,AQ2,FD3,FS4,,,,,,
0203391550,"BROMIDES,OTHER THAN MTHYLD",2/3/2007,12/31/2030,KG,,,N,N,,,,,,,,,,
0204100000,LAMB CARCASSES/HALF CARCASSE O,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204210000,SHEEP CARCASSES/HALF-CARCASS M,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204222010,LAMB OTHR CUTS WITH BONE:SHLDR,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204222020,LAMB OTHR CUTS WITH BONE:LEGS,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204222030,LAMB OTHR CUTS WITH BONE:LOINS,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204222090,LAMB OTHR CUTS WITH BONE:OTHER,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204224000,OTHER SHEEP CUTS,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204232000,"BONELESS LAMB,FRESH/CHILLED",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204234000,"BONELESS SHEEP MEAT,OTHER",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204300000,FROZEN LAMB CARCASSES/HALF,7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204410000,"SHEEP CARCASSES/HALF,FROZEN",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204422010,"LAMB,BONE IN, FROZEN, SHOULDER",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204422020,"LAMB,BONE IN, FROZEN, LEGS",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204422030,"LAMB,BONE IN, FROZEN, LOINS",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204422090,"LAMB,BONE IN, FROZEN, OTHER",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204424000,"OTHER CUTS, BONE IN ,FROZEN",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204432000,"LAMB BONELESS, FROZEN",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204434000,"OTH MEAT OF SHEEP,FRZN,BONELES",7/1/2020,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0204500000,MEAT OF GOATS,12/12/2003,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0205000000,"MEAT OF HORSES, ASSES, MULES O",12/12/2003,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0206100000,"EDIBLE OFFAL/BOVINE,FRESH/CHIL",9/15/2006,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0206210000,"BOVINE TONGUES, FROZEN",9/15/2006,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0206220000,"BOVINE LIVERS, FROZEN",9/15/2006,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
0206290000,"EDIBLE OFFAL,BOVINE,FROZEN",9/15/2006,12/31/2030,KG,,,N,N,AM7,AQ2,FD3,FS4,,,,,,
